서울ㆍ인천ㆍ경기도,서울,A01,흐리고 비,30
서울ㆍ인천ㆍ경기도,인천,A01,흐리고 비,29
서울ㆍ인천ㆍ경기도,수원,A01,흐리고 비,30
서울ㆍ인천ㆍ경기도,파주,A01,흐리고 비,30
서울ㆍ인천ㆍ경기도,이천,A01,흐리고 비,31
서울ㆍ인천ㆍ경기도,평택,A01,흐리고 비,32
강원도영서,춘천,A01,흐리고 비,31
강원도영서,원주,A01,흐리고 비,31
강원도영동,강릉,A01,흐림,32
대전ㆍ세종ㆍ충청남도,대전,A01,흐림,32
대전ㆍ세종ㆍ충청남도,세종,A01,흐림,32
대전ㆍ세종ㆍ충청남도,홍성,A01,흐림,31
충청북도,청주,A01,흐림,33
충청북도,충주,A01,흐림,32
충청북도,영동,A01,흐림,33
광주ㆍ전라남도,광주,A01,흐림,31
광주ㆍ전라남도,목포,A01,흐림,30
광주ㆍ전라남도,여수,A01,흐림,29
광주ㆍ전라남도,순천,A01,흐림,31
광주ㆍ전라남도,광양,A01,흐림,31
광주ㆍ전라남도,나주,A01,흐림,33
전라북도,전주,A01,흐림,33
전라북도,군산,A01,흐림,31
전라북도,정읍,A01,흐림,33
전라북도,남원,A01,흐림,32
전라북도,고창,A01,흐림,30
전라북도,무주,A01,흐림,32
부산ㆍ울산ㆍ경상남도,부산,A01,흐림,30
부산ㆍ울산ㆍ경상남도,울산,A01,흐림,32
부산ㆍ울산ㆍ경상남도,창원,A01,흐림,31
부산ㆍ울산ㆍ경상남도,진주,A01,흐림,32
부산ㆍ울산ㆍ경상남도,거창,A01,흐림,32
부산ㆍ울산ㆍ경상남도,통영,A01,흐림,30
대구ㆍ경상북도,대구,A01,흐림,33
대구ㆍ경상북도,안동,A01,흐림,32
대구ㆍ경상북도,포항,A01,흐림,32
대구ㆍ경상북도,경주,A01,흐림,33
대구ㆍ경상북도,울진,A01,흐림,29
대구ㆍ경상북도,울릉도,A01,흐림,29
제주도,제주,A01,흐림,32
제주도,서귀포,A01,흐림,30
